rank,name,pos,league,team
1,Gavin McKenna,LW,NCAA,Penn State Univ.
2,Chase Reid,RD,OHL,Soo Greyhounds
3,Ivar Stenberg,LW/RW,SHL,Frölunda HC
4,Caleb Malhotra,C,OHL,Brantford Bulldogs
5,Alberts Smits,LD,Liiga,Jukurit
6,Keaton Verhoeff,RD,NCAA,Univ. of North Dakota
7,Carson Carels,LD,WHL,Prince George Cougars
8,Viggo Bjorck,C/RW,SHL,Djurgårdens IF
9,Daxon Rudolph,RD,WHL,Prince Albert Raiders
10,Tynan Lawrence,C,NCAA,Boston Univ.
11,Ethan Belchetz,LW,OHL,Windsor Spitfires
12,Ryan Lin,RD,WHL,Vancouver Giants
13,Nikita Klepov,F,OHL,Saginaw Spirit
14,Malte Gustafsson,LD,U20 Nationell,HV71 U20
15,Oscar Hemming,F,NCAA,Boston College
16,Adam Novotny,LW/RW,OHL,Peterborough Petes
17,JP Hurlbert,F,WHL,Kamloops Blazers
18,Ryan Roobroeck,C,OHL,Niagara IceDogs
19,Mathis Preston,F,WHL,Spokane Chiefs
20,Oliver Suvanto,C,Liiga,Tappara
21,Adam Valentini,F,NCAA,Univ. of Michigan
22,Marcus Nordmark,LW,U20 Nationell,Djurgårdens IF U20
23,Maddox Dagenais,C,QMJHL,Québec Remparts
24,Wyatt Cullen,F,NTDP,U.S. National U18 Team
25,Ilya Morozov,F,NCAA,Miami Univ. (Ohio)
26,Alexander Command,C,U20 Nationell,Örebro HK U20
27,Juho Piiparinen,RD,Liiga,Tappara
28,William Hakansson,LD,SHL,Luleå HF
29,Xavier Villeneuve,LD,QMJHL,Blainville-Boisbriand Armada
30,Yegor Shilov,C,QMJHL,Victoriaville Tigres
31,Elton Hermansson,RW/LW,HA,MoDo Hockey
32,Liam Ruck,F,WHL,Medicine Hat Tigers
33,Markus Ruck,F,WHL,Medicine Hat Tigers
34,Pierce Mbuyi,LW,OHL,Owen Sound Attack
35,Cooper Williams,F,WHL,Saskatoon Blades
36,Casey Mutryn,F,NTDP,U.S. National U18 Team
37,Cooper Dennis,F,OHL,Brantford Bulldogs
38,Niklas Aaram-Olsen,RW/LW,U20 Nationell,Örebro HK U20
39,Giorgos Pantelas,D,WHL,Brandon Wheat Kings
40,Jaxon Cover,LW,OHL,London Knights
41,Gleb Pugachyov,RW/LW,MHL,
42,Chase Harrington,F,WHL,Spokane Chiefs
43,Jack Hextall,C,USHL,Youngstown Phantoms
44,Isac Hedqvist,C/W,SHL,Luleå HF
45,Tomas Chrenko,C,Slovak,HK Nitra
46,Ben Macbeath,LD,WHL,Calgary Hitmen
47,Dayne Beuker,C,NTDP,U.S. National U18 Team
48,Joe Iginla,F,WHL,Edmonton Oil Kings
49,Simas Ignatavicius,C/W,NL,Genève-Servette HC
50,Brooks Rogowski,C,OHL,Oshawa Generals
51,Blake Zielinski,RW,NTDP,Des Moines Buccaneers
52,Tommy Bleyl,RD,QMJHL,
53,Nikita Shcherbakov,LD,MHL,Salavat Yulaev Ufa
54,Adam Goljer,RD,Slovak,HK Dukla Trencin
55,Ryder Cali,C,OHL,North Bay Battalion
56,Victor Plante,F,NTDP,
57,Alessandro Di Iorio,C,OHL,Sarnia Sting
58,Thomas Vandenberg,C,OHL,Ottawa 67's
59,Beckham Edwards,C,OHL,Sarnia Sting
60,Landon Nycz,D,WHL,Univ. of Massachusetts
61,Luke Schairer,RD,NTDP,
62,Adam Nemec,F,OHL,Sudbury Wolves
63,Samu Alalauri,RD,SM-sarja,
64,Jakub Vanecek,LD,WHL,Tri-City Americans
65,Lars Steiner,RW,QMJHL,Rouyn-Noranda Huskies
66,Oscar Holmertz,C,U20 Nationell,
67,Dmitri Borichev,G,MHL,
68,Tomas Galvas,LD,Czechia,Bili Tygri Liberec
69,Axel Elofsson,RD,U20 Nationell,Örebro HK U20
70,Mikey Berchild,F,NTDP,U.S. National U18 Team
71,Vladimir Dravecky,RD,OHL,Brantford Bulldogs
72,Vertti Svensk,LD,SM-sarja,
73,Charlie Morrison,LD,QMJHL,
74,Vilho Vanhatalo,RW/LW,SM-sarja,Tappara U20
75,Lavr Gashilov,C,MHL,Avto Yekaterinburg
76,Brady Knowling,G,NTDP,U.S. National U18 Team
77,William Lacelle,G,QMJHL,Blainville-Boisbriand Armada
78,Tobias Trejbal,G,USHL,
79,Michal Orsulak,G,WHL,
80,Cole Zurawski,RW,WHL,Owen Sound Attack
81,Landon Amrhein,F,WHL,
82,Yegor Rybkin,G,Russia-Jr,
83,Filip Ruzicka,G,Czechia,
84,Matthew Humphries,G,OHL,
85,Arvin Jaswal,G,OHL,
